epsilon,F_no_dep,F_dep,mu_no_dep,mu_dep,Q_no_dep,Q_dep
5.000000000000000278e-02,5.514915167292085698e+02,5.880817956890911091e+02,2.245363585726958544e-01,2.097556711409546137e-01,6.851974278607078084e-01,6.881081116415795895e-01
1.035714285714285643e-01,1.149486199468980203e+03,1.197186857956944777e+03,1.082846954634321957e-01,1.035451605288928573e-01,6.848496683643848781e-01,6.877635207371289860e-01
1.571428571428571397e-01,1.775839695721614135e+03,1.830989664528493449e+03,7.071425779852470728e-02,6.828654698305300363e-02,6.842688170504191980e-01,6.871838770925660089e-01
2.107142857142856873e-01,2.432590032511507616e+03,2.496146464118753556e+03,5.227778296240982031e-02,5.071178848895231683e-02,6.834771765008368360e-01,6.863914312520295047e-01
2.642857142857142905e-01,3.141782566680078162e+03,3.215356609321631822e+03,4.115265604549211975e-02,4.001399644382597903e-02,6.824942152337121204e-01,6.854056619968016406e-01
3.178571428571428381e-01,3.924018237808404592e+03,4.010386059763238791e+03,3.363959113364108078e-02,3.274363127298773185e-02,6.813453601439881657e-01,6.842516602652672919e-01
3.714285714285713857e-01,4.805224001559295175e+03,4.908781310843965002e+03,2.817373712206747843e-02,2.742637323994039436e-02,6.800592761256990526e-01,6.829576005163233710e-01
4.249999999999999889e-01,5.819363041519679427e+03,5.947131427300633732e+03,2.397901013489579444e-02,2.332505169620362195e-02,6.786671431936245336e-01,6.815540616513255934e-01
4.785714285714285365e-01,6.984577672349088971e+03,7.146683212503734467e+03,2.070693500317011965e-02,2.010936185670827644e-02,6.772412120389078583e-01,6.801133583564137330e-01
5.321428571428571397e-01,8.386543567989958319e+03,8.602470844236206176e+03,1.799022792550463573e-02,1.742004633523712778e-02,6.757936474619929967e-01,6.786466805879518560e-01
5.857142857142857428e-01,1.012440011772577782e+04,1.042962756411419468e+04,1.566641727168043008e-02,1.509767965947756731e-02,6.743606020078876107e-01,6.771894782195641005e-01
6.392857142857143460e-01,1.235566848502258108e+04,1.281721399242844564e+04,1.362488718286601619e-02,1.303215876467667123e-02,6.729781102950369576e-01,6.757765405441793494e-01
6.928571428571428381e-01,1.534793097349728305e+04,1.610378111074937624e+04,1.178514215759374900e-02,1.113863806237114229e-02,6.716821486725673696e-01,6.744422796202674819e-01
7.464285714285714413e-01,1.952707828554413936e+04,2.088329685011318725e+04,1.011621126330990508e-02,9.375798441370332068e-03,6.706319409266848774e-01,6.733473851002117483e-01
8.000000000000000444e-01,2.596428787243573606e+04,2.882474218876245868e+04,8.511149811282401473e-03,7.599785930394134525e-03,6.698101083713454695e-01,6.723002727213135410e-01
