epsilon,F_no_dep,F_dep,mu_no_dep,mu_dep,Q_no_dep,Q_dep
5.000000000000000278e-02,5.514915167292085698e+02,6.070363787539038185e+02,2.245363585726958544e-01,2.031053101653548520e-01,6.851974278607078084e-01,6.885404100255055893e-01
1.035714285714285643e-01,1.149486199468980203e+03,1.216601959952850393e+03,1.082846954634321957e-01,1.018397532385161286e-01,6.848496683643848781e-01,6.881945916540962438e-01
1.571428571428571397e-01,1.775839695721614135e+03,1.852336159957926156e+03,7.071425779852470728e-02,6.746288171123807076e-02,6.842688170504191980e-01,6.876132391881155659e-01
2.107142857142856873e-01,2.432590032511507616e+03,2.520011510493214246e+03,5.227778296240982031e-02,5.020297035882322068e-02,6.834771765008368360e-01,6.868188027210598845e-01
2.642857142857142905e-01,3.141782566680078162e+03,3.242648070010428000e+03,4.115265604549211975e-02,3.965364253089216640e-02,6.824942152337121204e-01,6.858308079683788083e-01
3.178571428571428381e-01,3.924018237808404592e+03,4.042166521871138229e+03,3.363959113364108078e-02,3.246602736821382895e-02,6.813453601439881657e-01,6.846743086924151900e-01
3.714285714285713857e-01,4.805224001559295175e+03,4.946616984593767484e+03,2.817373712206747843e-02,2.719896004844110995e-02,6.800592761256990526e-01,6.833774199676382333e-01
4.249999999999999889e-01,5.819363041519679427e+03,5.993460469433082835e+03,2.397901013489579444e-02,2.312912074293867887e-02,6.786671431936245336e-01,6.819706142281234396e-01
4.785714285714285365e-01,6.984577672349088971e+03,7.204895984038241295e+03,2.070693500317011965e-02,1.993286287628847492e-02,6.772412120389078583e-01,6.805263353483547162e-01
5.321428571428571397e-01,8.386543567989958319e+03,8.714446306460336928e+03,1.799022792550463573e-02,1.718626704722720291e-02,6.757936474619929967e-01,6.790040335084708278e-01
5.857142857142857428e-01,1.012440011772577782e+04,1.057600939805839698e+04,1.566641727168043008e-02,1.488033429761177230e-02,6.743606020078876107e-01,6.775289281574092826e-01
6.392857142857143460e-01,1.235566848502258108e+04,1.296672813505684462e+04,1.362488718286601619e-02,1.287211805097882196e-02,6.729781102950369576e-01,6.761741516727384216e-01
6.928571428571428381e-01,1.534793097349728305e+04,1.633827199918546830e+04,1.178514215759374900e-02,1.097052670203363910e-02,6.716821486725673696e-01,6.748328123687898916e-01
7.464285714285714413e-01,1.952707828554413936e+04,2.136127579090387735e+04,1.011621126330990508e-02,9.162522836912450133e-03,6.706319409266848774e-01,6.736027116034086770e-01
8.000000000000000444e-01,2.596428787243573606e+04,2.957689231146852399e+04,8.511149811282401473e-03,7.402266153014505808e-03,6.698101083713454695e-01,6.726724128900521960e-01
