epsilon,F_no_dep,F_dep,mu_no_dep,mu_dep,Q_no_dep,Q_dep
5.000000000000000278e-02,5.514915167292085698e+02,6.532546025372563463e+02,2.245363585726958544e-01,1.884376705135102914e-01,6.851974278607078084e-01,6.898810914500816960e-01
1.035714285714285643e-01,1.149486199468980203e+03,1.257801444517593609e+03,1.082846954634321957e-01,9.833955327330196061e-02,6.848496683643848781e-01,6.895356907780584299e-01
1.571428571428571397e-01,1.775839695721614135e+03,1.894871186635568165e+03,7.071425779852470728e-02,6.583192892834617560e-02,6.842688170504191980e-01,6.889552633120088476e-01
2.107142857142856873e-01,2.432590032511507616e+03,2.577469440164497428e+03,5.227778296240982031e-02,4.899311601259517118e-02,6.834771765008368360e-01,6.881535443256934226e-01
2.642857142857142905e-01,3.141782566680078162e+03,3.308989887929980341e+03,4.115265604549211975e-02,3.878297800846755572e-02,6.824942152337121204e-01,6.871623155104473746e-01
3.178571428571428381e-01,3.924018237808404592e+03,4.120692005847044129e+03,3.363959113364108078e-02,3.178201421404808907e-02,6.813453601439881657e-01,6.860019046685259525e-01
3.714285714285713857e-01,4.805224001559295175e+03,5.042121174030610746e+03,2.817373712206747843e-02,2.662610021571176766e-02,6.800592761256990526e-01,6.847001877983771578e-01
4.249999999999999889e-01,5.819363041519679427e+03,6.113274921937870204e+03,2.397901013489579444e-02,2.262417773396299681e-02,6.786671431936245336e-01,6.832873495194433655e-01
4.785714285714285365e-01,6.984577672349088971e+03,7.359610929247010063e+03,2.070693500317011965e-02,1.946700335197266984e-02,6.772412120389078583e-01,6.818361561274355331e-01
5.321428571428571397e-01,8.386543567989958319e+03,8.924495428165761041e+03,1.799022792550463573e-02,1.673943227448365656e-02,6.757936474619929967e-01,6.803045431456316017e-01
5.857142857142857428e-01,1.012440011772577782e+04,1.087186380001489852e+04,1.566641727168043008e-02,1.443705942651644925e-02,6.743606020078876107e-01,6.788188183665792019e-01
6.392857142857143460e-01,1.235566848502258108e+04,1.345871978236409996e+04,1.362488718286601619e-02,1.237001151480292618e-02,6.729781102950369576e-01,6.773721806664493306e-01
6.928571428571428381e-01,1.534793097349728305e+04,1.710336474958463805e+04,1.178514215759374900e-02,1.045246075596413700e-02,6.716821486725673696e-01,6.759981950839056841e-01
7.464285714285714413e-01,1.952707828554413936e+04,2.258222415137248390e+04,1.011621126330990508e-02,8.641569559521907959e-03,6.706319409266848774e-01,6.748482356207755606e-01
8.000000000000000444e-01,2.596428787243573606e+04,3.211673400086500624e+04,8.511149811282401473e-03,6.798872843324626353e-03,6.698101083713454695e-01,6.737449565399201701e-01
