epsilon,F_no_dep,F_dep,mu_no_dep,mu_dep,Q_no_dep,Q_dep
5.000000000000000278e-02,1.876978924560185646e+02,1.083230190122764270e+03,1.924597359194535895e-01,3.209269357564361463e-02,7.342871351470005303e-02,7.806629352683602807e-02
1.035714285714285643e-01,3.912229481374706097e+02,1.250752640671423251e+03,9.281545325437043359e-02,2.787518752683802378e-02,7.339144610622883036e-02,7.802904084200210089e-02
1.571428571428571397e-01,6.043998105420550928e+02,1.464200607453880139e+03,6.061222097016404076e-02,2.396568087431012739e-02,7.332919957261152533e-02,7.796545917293690175e-02
2.107142857142856873e-01,8.279221138701973359e+02,1.722503965803077563e+03,4.480952825349412971e-02,2.057717530970925440e-02,7.324436395479055895e-02,7.787893697872877441e-02
2.642857142857142905e-01,1.069292905570597668e+03,2.019837737331345124e+03,3.527370518185038439e-02,1.778969735835761110e-02,7.313902558318415015e-02,7.777388829509321311e-02
3.178571428571428381e-01,1.335523631557991393e+03,2.383385428808569941e+03,2.883393525740664612e-02,1.534315024464328464e-02,7.301590931359069891e-02,7.765117148637319666e-02
3.714285714285713857e-01,1.635438425636959437e+03,2.819643613125490447e+03,2.414891753320069778e-02,1.325322458379306519e-02,7.287808699976555671e-02,7.751478904166242412e-02
4.249999999999999889e-01,1.980596519068521502e+03,3.350831674186956207e+03,2.055343725848211150e-02,1.144738578866148077e-02,7.272890002665793885e-02,7.736782085433019374e-02
4.785714285714285365e-01,2.377172574785054621e+03,4.008596696718515886e+03,1.774880143128867646e-02,9.870519969047246434e-03,7.257609109014706572e-02,7.721482887980640752e-02
5.321428571428571397e-01,2.854325959605323533e+03,4.864370304319811112e+03,1.542019536471825672e-02,8.438148258688783418e-03,7.242096382274886002e-02,7.705538460670963152e-02
5.857142857142857428e-01,3.445798361050197855e+03,5.971010084000382449e+03,1.342835766144036790e-02,7.177371049415008641e-03,7.226739248721190945e-02,7.689859972385733322e-02
6.392857142857143460e-01,4.205201465796470075e+03,7.431474614279173693e+03,1.167847472817087028e-02,6.068467625453084421e-03,7.211923870876546516e-02,7.674591259371925378e-02
6.928571428571428381e-01,5.223605821484280568e+03,9.396205588247225023e+03,1.010155042079464299e-02,5.100879097844129503e-03,7.198035786824702464e-02,7.659790298377246176e-02
7.464285714285714413e-01,6.645961594763729408e+03,1.215167154850091174e+04,8.671038225694205348e-03,4.247860739169237107e-03,7.186781307375751660e-02,7.645331389721876647e-02
8.000000000000000444e-01,8.836839670138553629e+03,1.609044006857925706e+04,7.295271266813486109e-03,3.521030242434532165e-03,7.177974195029826476e-02,7.631476119898786270e-02
