epsilon,F_no_dep,F_dep,mu_no_dep,mu_dep,Q_no_dep,Q_dep
5.000000000000000278e-02,2.761758277877976298e+02,4.486192017124290601e+02,2.153072674347931981e-01,1.310653397992512514e-01,2.398097990433095128e-01,2.431715546706928743e-01
1.035714285714285643e-01,5.771398493186402447e+02,7.365081795953689152e+02,1.035712187658596184e-01,8.020473694456421720e-02,2.396797558359937963e-01,2.430348955792855647e-01
1.571428571428571397e-01,8.889163696798166256e+02,1.056480992850011717e+03,6.784934527130317972e-02,5.637955944388530621e-02,2.394636982095081634e-01,2.428120766501793981e-01
2.107142857142856873e-01,1.217797814895462579e+03,1.403134303736205084e+03,5.016199016909216046e-02,4.296616344045406377e-02,2.391679456196556808e-01,2.425091730745530527e-01
2.642857142857142905e-01,1.571095062738759907e+03,1.782050728719717881e+03,3.953836414871765570e-02,3.437587496623197708e-02,2.388009833899539525e-01,2.421342067706035994e-01
3.178571428571428381e-01,1.957721595219278015e+03,2.204253393388996301e+03,3.240194182588264360e-02,2.835748780350653628e-02,2.383730556129064204e-01,2.416964447431717289e-01
3.714285714285713857e-01,2.389046753234938478e+03,2.685310676293929191e+03,2.723766536957563864e-02,2.385820585868183782e-02,2.378956959752361044e-01,2.412068183972823632e-01
4.249999999999999889e-01,2.880208376179557490e+03,3.247754486072889449e+03,2.329224666345976191e-02,2.031863863586472196e-02,2.373812343783155976e-01,2.406769469301149600e-01
4.785714285714285365e-01,3.452188018525252573e+03,3.925371452537161531e+03,2.014750583404054107e-02,1.741224208738890999e-02,2.368423189292562514e-01,2.401187894418450597e-01
5.321428571428571397e-01,4.135336767407355183e+03,4.771833303785811040e+03,1.755105752028175009e-02,1.493126112457361307e-02,2.362914901262391509e-01,2.395442576600946560e-01
5.857142857142857428e-01,4.975623864550990220e+03,5.877318485109064568e+03,1.533978059464100215e-02,1.273420995923706632e-02,2.357408357553548439e-01,2.389648769467839495e-01
6.392857142857143460e-01,6.046435755700845220e+03,7.404803822297788429e+03,1.340150893944988715e-02,1.071790314155941434e-02,2.352017423339113622e-01,2.383915202460137051e-01
6.928571428571428381e-01,7.472834126917889080e+03,9.678583323252065384e+03,1.165378616539162852e-02,8.801659718883440495e-03,2.346847606490813920e-01,2.378344321986309851e-01
7.464285714285714413e-01,9.486748873985898172e+03,1.342484832639608794e+04,1.003064075113374413e-02,6.924227258225244819e-03,2.342000695739041849e-01,2.373041673187055722e-01
8.000000000000000444e-01,1.257291812685587684e+04,2.052918604199125912e+04,8.471414055445235236e-03,5.060305714355051859e-03,2.337565589570166913e-01,2.368101897429434333e-01
