epsilon,F_no_dep,F_dep,mu_no_dep,mu_dep,Q_no_dep,Q_dep
5.000000000000000278e-02,5.514915167292085698e+02,6.155069960002359721e+02,2.245363585726958544e-01,2.003600759008435928e-01,6.851974278607078084e-01,6.883809777375506922e-01
1.035714285714285643e-01,1.149486199468980203e+03,1.225821810745284893e+03,1.082846954634321957e-01,1.011013043011642215e-01,6.848496683643848781e-01,6.880327169296456269e-01
1.571428571428571397e-01,1.775839695721614135e+03,1.862631194256767230e+03,7.071425779852470728e-02,6.710993034364576282e-02,6.842688170504191980e-01,6.874490606110796875e-01
2.107142857142856873e-01,2.432590032511507616e+03,2.531921477679854434e+03,5.227778296240982031e-02,4.998299682964955915e-02,6.834771765008368360e-01,6.866523897010633481e-01
2.642857142857142905e-01,3.141782566680078162e+03,3.256680272530169077e+03,4.115265604549211975e-02,3.949672397627102677e-02,6.824942152337121204e-01,6.856622528399325400e-01
3.178571428571428381e-01,3.924018237808404592e+03,4.059069412600520536e+03,3.363959113364108078e-02,3.234329238618086078e-02,6.813453601439881657e-01,6.845037197090166892e-01
3.714285714285713857e-01,4.805224001559295175e+03,4.967430336923355753e+03,2.817373712206747843e-02,2.709641863455487798e-02,6.800592761256990526e-01,6.832049139273690397e-01
4.249999999999999889e-01,5.819363041519679427e+03,6.019632691398279349e+03,2.397901013489579444e-02,2.303921555274745028e-02,6.786671431936245336e-01,6.817963348875322183e-01
4.785714285714285365e-01,6.984577672349088971e+03,7.238447720105962617e+03,2.070693500317011965e-02,1.985057808726772496e-02,6.772412120389078583e-01,6.803505308947342956e-01
5.321428571428571397e-01,8.386543567989958319e+03,8.758790166580514779e+03,1.799022792550463573e-02,1.710890111953052017e-02,6.757936474619929967e-01,6.788268450504957308e-01
5.857142857142857428e-01,1.012440011772577782e+04,1.063548857627361213e+04,1.566641727168043008e-02,1.480641569601493998e-02,6.743606020078876107e-01,6.773506227844071637e-01
6.392857142857143460e-01,1.235566848502258108e+04,1.304884119640439712e+04,1.362488718286601619e-02,1.280014600624094362e-02,6.729781102950369576e-01,6.759950633737987769e-01
6.928571428571428381e-01,1.534793097349728305e+04,1.645812153385907368e+04,1.178514215759374900e-02,1.089935001791238894e-02,6.716821486725673696e-01,6.746532417082761190e-01
7.464285714285714413e-01,1.952707828554413936e+04,2.154801622730741656e+04,1.011621126330990508e-02,9.091429003730637157e-03,6.706319409266848774e-01,6.734231346277848029e-01
8.000000000000000444e-01,2.596428787243573606e+04,2.989138321690697921e+04,8.511149811282401473e-03,7.332149054679829719e-03,6.698101083713454695e-01,6.724934437987987179e-01
