epsilon,F_no_dep,F_dep,mu_no_dep,mu_dep,Q_no_dep,Q_dep
5.000000000000000278e-02,5.514915167292085698e+02,6.093491610646445906e+02,2.245363585726958544e-01,2.022758436753697986e-01,6.851974278607078084e-01,6.887735196474080723e-01
1.035714285714285643e-01,1.149486199468980203e+03,1.221565047005170754e+03,1.082846954634321957e-01,1.013950975527305176e-01,6.848496683643848781e-01,6.884274095005350480e-01
1.571428571428571397e-01,1.775839695721614135e+03,1.857804575612914505e+03,7.071425779852470728e-02,6.724263504873803643e-02,6.842688170504191980e-01,6.878462532229093762e-01
2.107142857142856873e-01,2.432590032511507616e+03,2.526153152535518529e+03,5.227778296240982031e-02,5.006386236626522018e-02,6.834771765008368360e-01,6.870518727606464982e-01
2.642857142857142905e-01,3.141782566680078162e+03,3.249743672809642248e+03,4.115265604549211975e-02,3.955280905460373253e-02,6.824942152337121204e-01,6.860639021492358491e-01
3.178571428571428381e-01,3.924018237808404592e+03,4.050611195054063955e+03,3.363959113364108078e-02,3.238598820354898766e-02,6.813453601439881657e-01,6.849073418480717823e-01
3.714285714285713857e-01,4.805224001559295175e+03,4.956954482443088637e+03,2.817373712206747843e-02,2.713127137954820384e-02,6.800592761256990526e-01,6.836102674145535518e-01
4.249999999999999889e-01,5.819363041519679427e+03,6.006546220489130974e+03,2.397901013489579444e-02,2.306884389617458453e-02,6.786671431936245336e-01,6.822031052942142404e-01
4.785714285714285365e-01,6.984577672349088971e+03,7.221967022799588449e+03,2.070693500317011965e-02,1.987670050813080888e-02,6.772412120389078583e-01,6.807582955468021169e-01
5.321428571428571397e-01,8.386543567989958319e+03,8.737893846372400731e+03,1.799022792550463573e-02,1.713187448551188249e-02,6.757936474619929967e-01,6.792351295212658568e-01
5.857142857142857428e-01,1.012440011772577782e+04,1.060934657767764838e+04,1.566641727168043008e-02,1.482597629067652217e-02,6.743606020078876107e-01,6.777588917387381562e-01
6.392857142857143460e-01,1.235566848502258108e+04,1.301625473334640628e+04,1.362488718286601619e-02,1.281616556395085565e-02,6.729781102950369576e-01,6.764027723111190049e-01
6.928571428571428381e-01,1.534793097349728305e+04,1.641766780858771745e+04,1.178514215759374900e-02,1.091118939040064580e-02,6.716821486725673696e-01,6.750596330625961983e-01
7.464285714285714413e-01,1.952707828554413936e+04,2.149807006863228526e+04,1.011621126330990508e-02,9.098692462119514768e-03,6.706319409266848774e-01,6.738273949643260874e-01
8.000000000000000444e-01,2.596428787243573606e+04,2.983171867587625093e+04,8.511149811282401473e-03,7.334282425649276370e-03,6.698101083713454695e-01,6.728952652335804530e-01
