epsilon,F_no_dep,F_dep,mu_no_dep,mu_dep,Q_no_dep,Q_dep
5.000000000000000278e-02,2.595222762766192091e+02,3.620789653390722265e+02,2.291187332374447216e-01,1.622942684928107282e-01,2.398122381707564754e-01,2.432516728027605268e-01
1.035714285714285643e-01,5.409281303255810371e+02,6.266930679363736090e+02,1.104945872075838581e-01,9.418441206909042296e-02,2.396905258295138619e-01,2.431330845765833637e-01
1.571428571428571397e-01,8.356791467426086228e+02,9.223196336088720955e+02,7.215740591686194139e-02,6.451324110895352570e-02,2.394872336862823581e-01,2.429338335310352592e-01
2.107142857142856873e-01,1.144734385452361948e+03,1.242180609707620761e+03,5.334467649225491104e-02,4.846873325505599711e-02,2.392101674214325291e-01,2.426577520090639484e-01
2.642857142857142905e-01,1.478468006374374454e+03,1.586037370205416210e+03,4.199250616886950060e-02,3.855906372027014667e-02,2.388661408213322845e-01,2.423156577213025908e-01
3.178571428571428381e-01,1.846574451891417993e+03,1.977706887105753594e+03,3.432611340167457392e-02,3.154157705453019406e-02,2.384640530445863160e-01,2.419075988607261862e-01
3.714285714285713857e-01,2.261254494538383369e+03,2.415631229559535768e+03,2.874871134904844264e-02,2.645668781911493517e-02,2.380139365170557131e-01,2.414540467436917248e-01
4.249999999999999889e-01,2.738490615362949939e+03,2.927306865241470859e+03,2.446837768866918020e-02,2.247761269347648902e-02,2.375267039316761863e-01,2.409605491887429896e-01
4.785714285714285365e-01,3.286820270798342335e+03,3.527407134132174633e+03,2.112952551343890220e-02,1.930931495388812924e-02,2.370276423068279348e-01,2.404517909670052522e-01
5.321428571428571397e-01,3.946560936723326904e+03,4.289314713703420239e+03,1.835737543418840267e-02,1.654486308845041012e-02,2.365210092008477871e-01,2.399135858272528898e-01
5.857142857142857428e-01,4.764365878319782496e+03,5.252270623372320188e+03,1.598614007314329635e-02,1.418308960665946340e-02,2.360194576424562152e-01,2.393889216958321187e-01
6.392857142857143460e-01,5.814361804094307445e+03,6.587468131934634584e+03,1.390294610496532052e-02,1.198456081406579221e-02,2.355355993872576270e-01,2.388504854940395605e-01
6.928571428571428381e-01,7.222468272951196013e+03,8.491308019634790980e+03,1.202565526285076340e-02,9.970973687379950864e-03,2.350820257971784066e-01,2.383551865961772154e-01
7.464285714285714413e-01,9.189102011490209406e+03,1.155841104286381596e+04,1.032266455439786318e-02,7.986844940943095897e-03,2.347144636029205034e-01,2.378609364520055114e-01
8.000000000000000444e-01,1.221834042075494290e+04,1.713910596233598335e+04,8.684846746206530133e-03,6.014249301800467587e-03,2.344268304383990420e-01,2.373719510533338350e-01
