epsilon,F_no_dep,F_dep,mu_no_dep,mu_dep,Q_no_dep,Q_dep
5.000000000000000278e-02,2.761758277877976298e+02,4.738870978292376890e+02,2.153072674347931981e-01,1.237558575528445864e-01,2.398097990433095128e-01,2.439415894256671824e-01
1.035714285714285643e-01,5.771398493186402447e+02,7.538134889962771013e+02,1.035712187658596184e-01,7.814957423787359525e-02,2.396797558359937963e-01,2.438033440558855791e-01
1.571428571428571397e-01,8.889163696798166256e+02,1.067827229941434780e+03,6.784934527130317972e-02,5.561781188205758286e-02,2.394636982095081634e-01,2.435829220024652297e-01
2.107142857142856873e-01,1.217797814895462579e+03,1.410006165374288457e+03,5.016199016909216046e-02,4.262389038100605765e-02,2.391679456196556808e-01,2.432816567866077084e-01
2.642857142857142905e-01,1.571095062738759907e+03,1.786237415859538032e+03,3.953836414871765570e-02,3.418105986758161741e-02,2.388009833899539525e-01,2.429097231286352632e-01
3.178571428571428381e-01,1.957721595219278015e+03,2.205707911662804236e+03,3.240194182588264360e-02,2.823736064372041679e-02,2.383730556129064204e-01,2.424751311939616349e-01
3.714285714285713857e-01,2.389046753234938478e+03,2.683787994224636805e+03,2.723766536957563864e-02,2.377970926132860416e-02,2.378956959752361044e-01,2.419886081977907222e-01
4.249999999999999889e-01,2.880208376179557490e+03,3.242579607596747792e+03,2.329224666345976191e-02,2.026628234340016599e-02,2.373812343783155976e-01,2.414616564548124622e-01
4.785714285714285365e-01,3.452188018525252573e+03,3.915464952895419174e+03,2.014750583404054107e-02,1.737741520249367830e-02,2.368423189292562514e-01,2.409060458613817013e-01
5.321428571428571397e-01,4.135336767407355183e+03,4.755416877746449245e+03,1.755105752028175009e-02,1.490900870986157714e-02,2.362914901262391509e-01,2.403335494510860371e-01
5.857142857142857428e-01,4.975623864550990220e+03,5.850895920912270412e+03,1.533978059464100215e-02,1.272259960389075968e-02,2.357408357553548439e-01,2.397555581264735058e-01
6.392857142857143460e-01,6.046435755700845220e+03,7.362808745942353198e+03,1.340150893944988715e-02,1.071450852255163323e-02,2.352017423339113622e-01,2.391830326277356311e-01
6.928571428571428381e-01,7.472834126917889080e+03,9.608287452869319168e+03,1.165378616539162852e-02,8.806401608211729404e-03,2.346847606490813920e-01,2.386263391446532545e-01
7.464285714285714413e-01,9.486748873985898172e+03,1.328937137868672835e+04,1.003064075113374413e-02,6.940869028099283869e-03,2.342000695739041849e-01,2.380956993191862547e-01
8.000000000000000444e-01,1.257291812685587684e+04,2.020486552576414397e+04,8.471414055445235236e-03,5.094790349173642340e-03,2.337565589570166913e-01,2.376007522929124149e-01
