epsilon,F_no_dep,F_dep,mu_no_dep,mu_dep,Q_no_dep,Q_dep
5.000000000000000278e-02,5.514915167292085698e+02,6.520805512568299491e+02,2.245363585726958544e-01,1.888615401664023585e-01,6.851974278607078084e-01,6.895057176929266785e-01
1.035714285714285643e-01,1.149486199468980203e+03,1.257937038655802553e+03,1.082846954634321957e-01,9.837624882069664900e-02,6.848496683643848781e-01,6.891585134424424997e-01
1.571428571428571397e-01,1.775839695721614135e+03,1.903975392433891102e+03,7.071425779852470728e-02,6.555186326520387463e-02,6.842688170504191980e-01,6.885716405790065497e-01
2.107142857142856873e-01,2.432590032511507616e+03,2.577848697615709170e+03,5.227778296240982031e-02,4.901294746555957815e-02,6.834771765008368360e-01,6.877733538696338966e-01
2.642857142857142905e-01,3.141782566680078162e+03,3.308885441689972140e+03,4.115265604549211975e-02,3.880709486337353964e-02,6.824942152337121204e-01,6.867809143392117344e-01
3.178571428571428381e-01,3.924018237808404592e+03,4.119670134965458601e+03,3.363959113364108078e-02,3.180994063791666576e-02,6.813453601439881657e-01,6.856195661726763868e-01
3.714285714285713857e-01,4.805224001559295175e+03,5.039369275580002977e+03,2.817373712206747843e-02,2.665856615921208608e-02,6.800592761256990526e-01,6.843171851101712555e-01
4.249999999999999889e-01,5.819363041519679427e+03,6.107394778177564149e+03,2.397901013489579444e-02,2.266219886222200705e-02,6.786671431936245336e-01,6.829040837331624703e-01
4.785714285714285365e-01,6.984577672349088971e+03,7.348483976855830406e+03,2.070693500317011965e-02,1.951136191345412621e-02,6.772412120389078583e-01,6.814529915694926832e-01
5.321428571428571397e-01,8.386543567989958319e+03,8.903658006396706696e+03,1.799022792550463573e-02,1.679219509331360966e-02,6.757936474619929967e-01,6.799221157352745015e-01
5.857142857142857428e-01,1.012440011772577782e+04,1.083387765128392493e+04,1.566641727168043008e-02,1.450009847808348372e-02,6.743606020078876107e-01,6.784375107506965819e-01
6.392857142857143460e-01,1.235566848502258108e+04,1.338834838226916872e+04,1.362488718286601619e-02,1.244626042620364248e-02,6.729781102950369576e-01,6.769925001783035912e-01
6.928571428571428381e-01,1.534793097349728305e+04,1.696754588475493802e+04,1.178514215759374900e-02,1.054609019727056375e-02,6.716821486725673696e-01,6.756205336064852185e-01
7.464285714285714413e-01,1.952707828554413936e+04,2.230645924722418931e+04,1.011621126330990508e-02,8.757044671739672853e-03,6.706319409266848774e-01,6.744721654658086818e-01
8.000000000000000444e-01,2.596428787243573606e+04,3.149104312037317140e+04,8.511149811282401473e-03,6.941186380417030573e-03,6.698101083713454695e-01,6.733700560210681418e-01
