epsilon,F_no_dep,F_dep,mu_no_dep,mu_dep,Q_no_dep,Q_dep
5.000000000000000278e-02,2.595222762766192091e+02,3.465098961612010839e+02,2.291187332374447216e-01,1.698066154691093843e-01,2.398122381707564754e-01,2.428876541931955513e-01
1.035714285714285643e-01,5.409281303255810371e+02,6.158550778403503045e+02,1.104945872075838581e-01,9.597392586174262330e-02,2.396905258295138619e-01,2.427691156722728560e-01
1.571428571428571397e-01,8.356791467426086228e+02,9.128520700881814491e+02,7.215740591686194139e-02,6.527780278128084146e-02,2.394872336862823581e-01,2.425694952906458368e-01
2.107142857142856873e-01,1.144734385452361948e+03,1.233116690612112961e+03,5.334467649225491104e-02,4.890126440535579738e-02,2.392101674214325291e-01,2.422926587177407498e-01
2.642857142857142905e-01,1.478468006374374454e+03,1.577029209562937240e+03,4.199250616886950060e-02,3.884406544316951204e-02,2.388661408213322845e-01,2.419496292883977773e-01
3.178571428571428381e-01,1.846574451891417993e+03,1.968480652502450994e+03,3.432611340167457392e-02,3.174610157954912276e-02,2.384640530445863160e-01,2.415405059346831806e-01
3.714285714285713857e-01,2.261254494538383369e+03,2.405954611155450493e+03,2.874871134904844264e-02,2.661413385191890857e-02,2.380139365170557131e-01,2.410858389775629995e-01
4.249999999999999889e-01,2.738490615362949939e+03,2.916913536860730801e+03,2.446837768866918020e-02,2.260437141688203047e-02,2.375267039316761863e-01,2.405912612747859725e-01
4.785714285714285365e-01,3.286820270798342335e+03,3.515762540870588509e+03,2.112952551343890220e-02,1.941655479978489363e-02,2.370276423068279348e-01,2.400815100899178212e-01
5.321428571428571397e-01,3.946560936723326904e+03,4.275243424366508407e+03,1.835737543418840267e-02,1.663953709244223034e-02,2.365210092008477871e-01,2.395424072384826630e-01
5.857142857142857428e-01,4.764365878319782496e+03,5.233845993433560579e+03,1.598614007314329635e-02,1.427064620763885371e-02,2.360194576424562152e-01,2.390168850813312040e-01
6.392857142857143460e-01,5.814361804094307445e+03,6.560953112223951393e+03,1.390294610496532052e-02,1.206801176140843805e-02,2.355355993872576270e-01,2.384776444662559947e-01
6.928571428571428381e-01,7.222468272951196013e+03,8.451105655982106327e+03,1.202565526285076340e-02,1.005104287853225351e-02,2.350820257971784066e-01,2.379812127903956076e-01
7.464285714285714413e-01,9.189102011490209406e+03,1.149540835728367347e+04,1.032266455439786318e-02,8.060854351369004314e-03,2.347144636029205034e-01,2.374850884889190550e-01
8.000000000000000444e-01,1.221834042075494290e+04,1.704667131578777844e+04,8.684846746206530133e-03,6.075135408715760625e-03,2.344268304383990420e-01,2.369921051228692233e-01
