epsilon,F_no_dep,F_dep,mu_no_dep,mu_dep,Q_no_dep,Q_dep
5.000000000000000278e-02,5.514915167292085698e+02,6.525505693597953041e+02,2.245363585726958544e-01,1.889219872116220666e-01,6.851974278607078084e-01,6.886941864337994268e-01
1.035714285714285643e-01,1.149486199468980203e+03,1.264878771276406496e+03,1.082846954634321957e-01,9.794584863829759735e-02,6.848496683643848781e-01,6.883411700073944761e-01
1.571428571428571397e-01,1.775839695721614135e+03,1.906078512098678857e+03,7.071425779852470728e-02,6.555754215705805743e-02,6.842688170504191980e-01,6.877523035254727857e-01
2.107142857142856873e-01,2.432590032511507616e+03,2.581322321237663800e+03,5.227778296240982031e-02,4.900943822352995388e-02,6.834771765008368360e-01,6.869500934091959943e-01
2.642857142857142905e-01,3.141782566680078162e+03,3.314125616431865637e+03,4.115265604549211975e-02,3.879869199893382775e-02,6.824942152337121204e-01,6.859541372020150352e-01
3.178571428571428381e-01,3.924018237808404592e+03,4.127203526206976676e+03,3.363959113364108078e-02,3.179845044709589397e-02,6.813453601439881657e-01,6.847895556450801502e-01
3.714285714285713857e-01,4.805224001559295175e+03,5.049961524528915106e+03,2.817373712206747843e-02,2.664460759140043974e-02,6.800592761256990526e-01,6.834844114051191744e-01
4.249999999999999889e-01,5.819363041519679427e+03,6.122081417846568911e+03,2.397901013489579444e-02,2.264627419296424277e-02,6.786671431936245336e-01,6.820691467855586332e-01
4.785714285714285365e-01,6.984577672349088971e+03,7.368642743813245033e+03,2.070693500317011965e-02,1.949377532516988545e-02,6.772412120389078583e-01,6.806165548361309270e-01
5.321428571428571397e-01,8.386543567989958319e+03,8.930789531644182716e+03,1.799022792550463573e-02,1.677461681724090256e-02,6.757936474619929967e-01,6.790852339340478494e-01
5.857142857142857428e-01,1.012440011772577782e+04,1.087058272308530104e+04,1.566641727168043008e-02,1.448263960693077328e-02,6.743606020078876107e-01,6.776011504904820848e-01
6.392857142857143460e-01,1.235566848502258108e+04,1.343789184178549294e+04,1.362488718286601619e-02,1.243006009213596004e-02,6.729781102950369576e-01,6.761579385073293036e-01
6.928571428571428381e-01,1.534793097349728305e+04,1.696815487353286881e+04,1.178514215759374900e-02,1.057089166774553661e-02,6.716821486725673696e-01,6.748857845807777478e-01
7.464285714285714413e-01,1.952707828554413936e+04,2.240151412977858854e+04,1.011621126330990508e-02,8.745783299954049475e-03,6.706319409266848774e-01,6.736451273522205963e-01
8.000000000000000444e-01,2.596428787243573606e+04,3.150335833168823592e+04,8.511149811282401473e-03,6.959224244528973424e-03,6.698101083713454695e-01,6.727057663003747079e-01
