epsilon,F_no_dep,F_dep,mu_no_dep,mu_dep,Q_no_dep,Q_dep
5.000000000000000278e-02,2.761758277877976298e+02,2.892779258422155522e+02,2.153072674347931981e-01,2.042538457340729585e-01,2.398097990433095128e-01,2.415033065641813692e-01
1.035714285714285643e-01,5.771398493186402447e+02,5.919626639019661525e+02,1.035712187658596184e-01,1.002943045152025342e-01,2.396797558359937963e-01,2.413792006476136731e-01
1.571428571428571397e-01,8.889163696798166256e+02,9.071016678425098689e+02,6.784934527130317972e-02,6.600879171266212098e-02,2.394636982095081634e-01,2.411674163503938484e-01
2.107142857142856873e-01,1.217797814895462579e+03,1.239536168157302200e+03,5.016199016909216046e-02,4.890244757248902313e-02,2.391679456196556808e-01,2.408746456597482821e-01
2.642857142857142905e-01,1.571095062738759907e+03,1.596879401261224530e+03,3.953836414871765570e-02,3.858005555522922569e-02,2.388009833899539525e-01,2.405092898092903997e-01
3.178571428571428381e-01,1.957721595219278015e+03,1.988658823926049308e+03,3.240194182588264360e-02,3.161781221667081532e-02,2.383730556129064204e-01,2.400813943438416531e-01
3.714285714285713857e-01,2.389046753234938478e+03,2.427072884729982434e+03,2.723766536957563864e-02,2.655934444825239563e-02,2.378956959752361044e-01,2.396022123282238181e-01
4.249999999999999889e-01,2.880208376179557490e+03,2.928574063821643449e+03,2.329224666345976191e-02,2.267752650821632660e-02,2.373812343783155976e-01,2.390837742795201004e-01
4.785714285714285365e-01,3.452188018525252573e+03,3.516447132326867177e+03,2.014750583404054107e-02,1.956637277576432632e-02,2.368423189292562514e-01,2.385384196052158789e-01
5.321428571428571397e-01,4.135336767407355183e+03,4.225381798904852985e+03,1.755105752028175009e-02,1.697833883504122621e-02,2.362914901262391509e-01,2.379783756348106960e-01
5.857142857142857428e-01,4.975623864550990220e+03,5.110133113603956190e+03,1.533978059464100215e-02,1.474996224297397789e-02,2.357408357553548439e-01,2.374153762606599216e-01
6.392857142857143460e-01,6.046435755700845220e+03,6.264975757066368715e+03,1.340150893944988715e-02,1.276012885831931398e-02,2.352017423339113622e-01,2.368604829746423779e-01
6.928571428571428381e-01,7.472834126917889080e+03,7.857678411834997860e+03,1.165378616539162852e-02,1.092199593198769220e-02,2.346847606490813920e-01,2.363236094407197008e-01
7.464285714285714413e-01,9.486748873985898172e+03,1.023113636047693035e+04,1.003064075113374413e-02,9.155165572107472338e-03,2.342000695739041849e-01,2.358142271357109576e-01
8.000000000000000444e-01,1.257291812685587684e+04,1.419518810167103402e+04,8.471414055445235236e-03,7.378214232518375340e-03,2.337565589570166913e-01,2.353396660342775282e-01
