epsilon,F_no_dep,F_dep,mu_no_dep,mu_dep,Q_no_dep,Q_dep
5.000000000000000278e-02,5.514915167292085698e+02,7.537050053431087235e+02,2.245363585726958544e-01,1.632554285923776549e-01,6.851974278607078084e-01,6.903876197562567318e-01
1.035714285714285643e-01,1.149486199468980203e+03,1.355707731993227981e+03,1.082846954634321957e-01,9.120207356682775990e-02,6.848496683643848781e-01,6.900277280856418338e-01
1.571428571428571397e-01,1.775839695721614135e+03,2.002228149480395359e+03,7.071425779852470728e-02,6.227947539204105321e-02,6.842688170504191980e-01,6.894335637436541653e-01
2.107142857142856873e-01,2.432590032511507616e+03,2.699134199473762692e+03,5.227778296240982031e-02,4.676925446769845257e-02,6.834771765008368360e-01,6.886175836476026157e-01
2.642857142857142905e-01,3.141782566680078162e+03,3.449117651024406314e+03,4.115265604549211975e-02,3.719646521898065106e-02,6.824942152337121204e-01,6.876118240826006867e-01
3.178571428571428381e-01,3.924018237808404592e+03,4.285532632448974255e+03,3.363959113364108078e-02,3.055207780276424437e-02,6.813453601439881657e-01,6.864362031618601589e-01
3.714285714285713857e-01,4.805224001559295175e+03,5.240759533981418826e+03,2.817373712206747843e-02,2.561214667460216463e-02,6.800592761256990526e-01,6.851189146819968157e-01
4.249999999999999889e-01,5.819363041519679427e+03,6.358961761642316560e+03,2.397901013489579444e-02,2.174761992086927248e-02,6.786671431936245336e-01,6.836899273472732963e-01
4.785714285714285365e-01,6.984577672349088971e+03,7.671186560568465211e+03,2.070693500317011965e-02,1.867592846093284534e-02,6.772412120389078583e-01,6.822226105402948715e-01
5.321428571428571397e-01,8.386543567989958319e+03,9.335687195872173106e+03,1.799022792550463573e-02,1.600377765179605491e-02,6.757936474619929967e-01,6.806730752483133307e-01
5.857142857142857428e-01,1.012440011772577782e+04,1.143512885386412381e+04,1.566641727168043008e-02,1.372954778113507322e-02,6.743606020078876107e-01,6.791691837785805985e-01
6.392857142857143460e-01,1.235566848502258108e+04,1.427134858536121646e+04,1.362488718286601619e-02,1.167130670751007245e-02,6.729781102950369576e-01,6.777030181412156962e-01
6.928571428571428381e-01,1.534793097349728305e+04,1.835530624388103388e+04,1.178514215759374900e-02,9.747265994321376720e-03,6.716821486725673696e-01,6.763079469730531867e-01
7.464285714285714413e-01,1.952707828554413936e+04,2.477326765770690690e+04,1.011621126330990508e-02,7.889329417745878301e-03,6.706319409266848774e-01,6.750173832228063553e-01
8.000000000000000444e-01,2.596428787243573606e+04,3.620412035936916800e+04,8.511149811282401473e-03,6.044065407221558932e-03,6.698101083713454695e-01,6.738668589975566059e-01
